Row,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12
A,control_DMSO,THOC5_DMSO ,THOC5-dSVA_DMSO,control_ZNF91_DMSO,THOC5_ZNF91_DMSO,THOC5-dSVA_ZNF91_DMSO,control_PDS,THOC5_PDS,THOC5-dSVA_PDS,control_ZNF91_PDS,THOC5_ZNF91_PDS,THOC5-dSVA_ZNF91_PDS
B,control_DMSO,THOC5_DMSO ,THOC5-dSVA_DMSO,control_ZNF91_DMSO,THOC5_ZNF91_DMSO,THOC5-dSVA_ZNF91_DMSO,control_PDS,THOC5_PDS,THOC5-dSVA_PDS,control_ZNF91_PDS,THOC5_ZNF91_PDS,THOC5-dSVA_ZNF91_PDS
C,control_DMSO,THOC5_DMSO ,THOC5-dSVA_DMSO,control_ZNF91_DMSO,THOC5_ZNF91_DMSO,THOC5-dSVA_ZNF91_DMSO,control_PDS,THOC5_PDS,THOC5-dSVA_PDS,control_ZNF91_PDS,THOC5_ZNF91_PDS,THOC5-dSVA_ZNF91_PDS
D,control_DMSO,THOC5_DMSO ,THOC5-dSVA_DMSO,control_ZNF91_DMSO,THOC5_ZNF91_DMSO,THOC5-dSVA_ZNF91_DMSO,control_PDS,THOC5_PDS,THOC5-dSVA_PDS,control_ZNF91_PDS,THOC5_ZNF91_PDS,THOC5-dSVA_ZNF91_PDS
