-	1	2	3	4	5	6	7	8	9	10	11	12
A	2.39E+06	2.22E+06	2.31E+06									
B	2.50E+06	2.79E+06	2.45E+06									
C	2.73E+06	2.72E+06	2.52E+06									
D	2.42E+06	2.63E+06	2.34E+06									
E												
F												
G												
H												
