-	1	2	3	4	5	6	7	8	9	10	11	12
A	1.82E+03	1.64E+06	1.50E+06									
B	4.21E+03	1.84E+06	1.31E+06									
C	1.82E+03	1.91E+06	1.35E+06									
D	1.43E+03	1.88E+06	1.37E+06									
E												
F												
G												
H												
